name,hasMetaphoricityScore,comment,hasName,hasDescription,type,label,hasQueryCode,isInRCGroup
FramesPerspectiveOnCM,['0.6'],['This is a test!'],['FramesPerspectiveOnCM'],"[""This should pick additional frames (wrt SubcaseOfFramesRelatedByCM) that are related to a source frame by an 'isAPerspectiveOn' relation.""]","['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['FramesPerspectiveOnCM'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe   rdf:type mo:Frame .\n        ?itframe   rdf:type mo:Frame .\n        ?isframe   rdf:type mo:Frame .\n        ?isframe2 rdf:type mo:Frame .\n        ?cm           rdf:type  mo:Metaphor .\n        ?cm           mo:hasTargetFrame ?itframe .\n        ?cm           mo:hasSourceFrame ?isframe .\n        ?tframe     mo:isSubcaseOfFrame* ?itframe .\n        ?sframe     mo:isSubcaseOfFrame* ?isframe2 .\n        ?isframe    mo:isAPerspectiveOnFrame ?isframe2 .\n}'],
SubcaseOfFramesRelatedByCM,['0.7'],['Returns CMs'],['SubcaseOfFramesRelatedByCM'],"['The target and source frames are subcases of a CMs target and source frames', 'respectively.']","['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['SubcaseOfFramesRelatedByCM'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?itframe rdf:type mo:Frame .\n        ?isframe rdf:type mo:Frame .\n        ?cm rdf:type mo:Metaphor .\n        ?cm mo:hasTargetFrame ?itframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?tframe mo:isSubcaseOfFrame* ?itframe .\n        ?sframe mo:isSubcaseOfFrame* ?isframe .\n}'],['SubcaseOfFramesRelatedByCM']
TFrameIsRoleInSFrame,['-0.5'],,['TFrameIsRoleInSFrame'],"[""OR target frame us a subcase of a frame that's incorporated into source frame"", 'Target frame is incorporated as a role in source frame', 'where the subcase relation may cascaded to an arbitrarily depth.']","['NamedIndividual', 'RelationalConfiguration', 'RelationalConfiguration']",['TFrameIsRoleInSFrame'],['SELECT ?tframe ?sframe WHERE {\n    {\n        ?sframe mo:incorporatesFrameAsRole ?tframe .\n    } UNION {\n        ?sframe mo:isSubcaseOfFrame* ?isframe .\n        ?isframe mo:incorporatesFrameAsRole ?itframe .\n        ?tframe mo:isSubcaseOfFrame* ?itframe .\n    }\n}'],['TFrameIsRoleInSFrame']
FramesDirectlyRelatedByCM,['0.8'],['getdirectcmfromframes'],['FramesDirectlyRelatedByCM'],['The target and source frames are directly related by a CM.'],"['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['FramesDirectlyRelatedByCM'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tframe .\n        ?cm mo:hasSourceFrame ?sframe .\n}'],['FramesDirectlyRelatedByCM']
TFrameUsesSFrame_1_2,['-0.5'],,['TFrameUsesSFrame.1-2'],"['Target frame is a subcase of or makes use of source frame', 'where those relations may occur once or twice in succession.']","['NamedIndividual', 'RelationalConfiguration', 'RelationalConfiguration']",['TFrameUsesSFrame.1-2'],['SELECT ?tframe ?sframe WHERE {\n    {\n        ?tframe (mo:makesUseOfFrame|mo:isSubcaseOfFrame) ?sframe .\n    } UNION {\n        ?tframe (mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame) ?sframe .\n    }\n}'],['TFrameUsesSFrame']
FramesRelatedAtHigherLevelByCM_2,['0.4'],['getcmsfromframesmed'],['FramesRelatedAtHigherLevelByCM.2'],['The target frame is a subcase descendent of a frame which is made use of by a frame which is a subcase descendant of the target frame of a CM.  The source frame is a subcase descendant of the source frame of a CM.'],"['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['FramesRelatedAtHigherLevelByCM.2'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tgframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?itframe mo:makesUseOfFrame ?iitframe .\n        ?tframe mo:isSubcaseOfFrame* ?iitframe .\n        ?itframe mo:isSubcaseOfFrame* ?tgframe .\n        ?sframe mo:isSubcaseOfFrame* ?isframe\n}'],['FramesRelatedAtHigherLevelByCM']
FramesMakeUseOfCM_2,['0.4'],['getusedcmslocal'],['FramesMakeUseOfCM.2'],['The target and source frames are subcase descendants of frames that make use of the target and source frames of a CM.'],"['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['FramesMakeUseOfCM.2'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tgframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?tframe mo:makesUseOfFrame ?itgframe .\n        ?sframe mo:makesUseOfFrame ?iisframe .\n        ?itgframe mo:isSubcaseOfFrame* ?tgframe .\n        ?iisframe mo:isSubcaseOfFrame* ?isframe .\n}'],['FramesMakeUseOfCM']
FramesRelatedAtHigherLevelByCM_3,['0.3'],['getcmsfromframeslong'],['FramesRelatedAtHigherLevelByCM.3'],['Target frame is a subcase descendant of a frame which is made use of by a frame which is a subcase descdendant of the target frame of a CM.  The source frame is a subcase descendant of the source frame of that CM OR it is the subcase of a frame which is made use of by a frame which is a subcase descendant of the source frame of the CM.'],"['NamedIndividual', 'RelationalConfiguration', 'RelationalConfiguration']",['FramesRelatedAtHigherLevelByCM.3'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tgframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?itframe mo:makesUseOfFrame ?iitframe .\n        ?tframe mo:isSubcaseOfFrame* ?iitframe .\n        ?itframe mo:isSubcaseOfFrame* ?tgframe .\n        {\n            ?sframe mo:isSubcaseOfFrame* ?isframe\n        } UNION {\n            ?iisframe mo:makesUseOfFrame ?sframe .\n            ?iisframe mo:isSubcaseOfFrame* ?isframe .\n        }\n}'],['FramesRelatedAtHigherLevelByCM']
UsedByOtherFrame,['-0.5'],,['UsedByOtherFrame'],['There is a frame that makes use of both the target frame and source frame.'],"['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['UsedByOtherFrame'],['SELECT ?tframe ?sframe ?otherframe ?othername WHERE {\n    ?otherframe mo:makesUseOfFrame ?tframe .\n    ?otherframe mo:makesUseOfFrame ?sframe .\n    ?otherframe mo:hasName ?othername .\n}'],['UsedByOtherFrame']
TFrameUsesSFrame_3_4,['-0.5'],,['TFrameUsesSFrame.3-4'],"['with 3 or 4 such relations intervening between the frames.', 'Target frame is a subcase of or makes use of source frame']","['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['TFrameUsesSFrame.3-4'],['SELECT ?tframe ?sframe WHERE {\n    {\n        ?tframe (mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame) ?sframe .\n    } UNION {\n        ?tframe (mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame)/(mo:makesUseOfFrame|mo:isSubcaseOfFrame) ?sframe .\n    }\n}'],['TFrameUsesSFrame']
SubcaseOfSameFrame,['-0.5'],,['SubcaseOfSameFrame'],"['with up to 2 subcase relations cascaded.', 'Target frame and source frame are subcases of the the same frame']","['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['SubcaseOfSameFrame'],['SELECT ?tframe ?sframe ?otherframe ?othername WHERE {\n    ?otherframe (mo:isSubcaseOfFrame|mo:isSubcaseOfFrame/mo:isSubcaseOfFrame) ?tframe .\n    ?otherframe (mo:isSubcaseOfFrame|mo:isSubcaseOfFrame/mo:isSubcaseOfFrame) ?sframe .\n    ?otherframe mo:hasName ?othername .\n}'],['SubcaseOfSameFrame']
FramesRelatedAtHigherLevelByCM,['0.5'],['getcmsfromframeslocal'],['FramesRelatedAtHigherLevelByCM'],['The target frame is made use of by a frame that is a subcase descendent of the target frame of a CM.  The source frame is a subcase descendent of the source frame of the CM.'],"['RelationalConfiguration', 'NamedIndividual', 'RelationalConfiguration']",['FramesRelatedAtHigherLevelByCM'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tgframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?itframe mo:makesUseOfFrame ?tframe .\n        ?itframe mo:isSubcaseOfFrame* ?tgframe .\n        ?sframe mo:isSubcaseOfFrame* ?isframe\n}'],['FramesRelatedAtHigherLevelByCM']
FramesMakeUseOfCM,['0.5'],['getusedcms'],['FramesMakeUseOfCM'],"['Target and source frames make use of the target and source frames of a CM', 'respectively.']","['NamedIndividual', 'RelationalConfiguration', 'RelationalConfiguration']",['FramesMakeUseOfCM'],['SELECT DISTINCT ?cm WHERE {\n        ?tframe rdf:type mo:Frame .\n        ?sframe rdf:type mo:Frame .\n        ?cm mo:hasTargetFrame ?tgframe .\n        ?cm mo:hasSourceFrame ?isframe .\n        ?tframe mo:makesUseOfFrame ?tgframe .\n        ?sframe mo:makesUseOfFrame ?isframe .\n}'],['FramesMakeUseOfCM']
