name,hasMetaphoricityScore,comment,hasName,hasDescription,label,isInRCGroup
FramesPerspectiveOnCM,['0.6'],['This is a test!'],['FramesPerspectiveOnCM'],"[""This should pick additional frames (wrt SubcaseOfFramesRelatedByCM) that are related to a source frame by an 'isAPerspectiveOn' relation.""]",['FramesPerspectiveOnCM'],
SubcaseOfFramesRelatedByCM,['0.7'],['Returns CMs'],['SubcaseOfFramesRelatedByCM'],"['The target and source frames are subcases of a CMs target and source frames', 'respectively.']",['SubcaseOfFramesRelatedByCM'],['SubcaseOfFramesRelatedByCM']
TFrameIsRoleInSFrame,['-0.5'],,['TFrameIsRoleInSFrame'],"[""OR target frame us a subcase of a frame that's incorporated into source frame"", 'Target frame is incorporated as a role in source frame', 'where the subcase relation may cascaded to an arbitrarily depth.']",['TFrameIsRoleInSFrame'],['TFrameIsRoleInSFrame']
FramesDirectlyRelatedByCM,['0.8'],['getdirectcmfromframes'],['FramesDirectlyRelatedByCM'],['The target and source frames are directly related by a CM.'],['FramesDirectlyRelatedByCM'],['FramesDirectlyRelatedByCM']
TFrameUsesSFrame_1_2,['-0.5'],,['TFrameUsesSFrame.1-2'],"['Target frame is a subcase of or makes use of source frame', 'where those relations may occur once or twice in succession.']",['TFrameUsesSFrame.1-2'],['TFrameUsesSFrame']
FramesRelatedAtHigherLevelByCM_2,['0.4'],['getcmsfromframesmed'],['FramesRelatedAtHigherLevelByCM.2'],['The target frame is a subcase descendent of a frame which is made use of by a frame which is a subcase descendant of the target frame of a CM.  The source frame is a subcase descendant of the source frame of a CM.'],['FramesRelatedAtHigherLevelByCM.2'],['FramesRelatedAtHigherLevelByCM']
FramesMakeUseOfCM_2,['0.4'],['getusedcmslocal'],['FramesMakeUseOfCM.2'],['The target and source frames are subcase descendants of frames that make use of the target and source frames of a CM.'],['FramesMakeUseOfCM.2'],['FramesMakeUseOfCM']
FramesRelatedAtHigherLevelByCM_3,['0.3'],['getcmsfromframeslong'],['FramesRelatedAtHigherLevelByCM.3'],['Target frame is a subcase descendant of a frame which is made use of by a frame which is a subcase descdendant of the target frame of a CM.  The source frame is a subcase descendant of the source frame of that CM OR it is the subcase of a frame which is made use of by a frame which is a subcase descendant of the source frame of the CM.'],['FramesRelatedAtHigherLevelByCM.3'],['FramesRelatedAtHigherLevelByCM']
UsedByOtherFrame,['-0.5'],,['UsedByOtherFrame'],['There is a frame that makes use of both the target frame and source frame.'],['UsedByOtherFrame'],['UsedByOtherFrame']
TFrameUsesSFrame_3_4,['-0.5'],,['TFrameUsesSFrame.3-4'],"['with 3 or 4 such relations intervening between the frames.', 'Target frame is a subcase of or makes use of source frame']",['TFrameUsesSFrame.3-4'],['TFrameUsesSFrame']
SubcaseOfSameFrame,['-0.5'],,['SubcaseOfSameFrame'],"['with up to 2 subcase relations cascaded.', 'Target frame and source frame are subcases of the the same frame']",['SubcaseOfSameFrame'],['SubcaseOfSameFrame']
FramesRelatedAtHigherLevelByCM,['0.5'],['getcmsfromframeslocal'],['FramesRelatedAtHigherLevelByCM'],['The target frame is made use of by a frame that is a subcase descendent of the target frame of a CM.  The source frame is a subcase descendent of the source frame of the CM.'],['FramesRelatedAtHigherLevelByCM'],['FramesRelatedAtHigherLevelByCM']
FramesMakeUseOfCM,['0.5'],['getusedcms'],['FramesMakeUseOfCM'],"['Target and source frames make use of the target and source frames of a CM', 'respectively.']",['FramesMakeUseOfCM'],['FramesMakeUseOfCM']
